movieid,language
1672052,Afrikaans
1672052,English
1672111,English
1672580,English
1672716,English
1672946,English
1673647,French
1673658,English
1673848,English
1674388,English
1674388,Spanish
1674737,English
1677011,English
1677011,Vietnamese
1677346,English
1677472,English
1677516,English
1677631,English
1678036,English
1678036,Russian
1678591,English
1679029,English
1679461,English
1679507,English
1679920,Korean
1681633,English
1681655,English
1682657,English
1682657,Spanish
1682692,English
1682746,English
1682922,English
1684201,English
1684430,English
1684430,Italian
1684442,English
1684486,English
1684910,English
1685241,English
1685309,English
1685405,English
1685463,English
1685493,English
1685815,English
1686071,English
1686209,English
1687181,English
1687544,English
1687685,English
1687730,English
1687738,English
1687905,English
1688103,English
1688103,Italian
1688103,Russian
1688565,English
1688565,"Irish Gaelic"
1688565,Spanish
1689117,English
1689183,English
1689210,English
1689263,English
1689475,English
1689475,German
1690318,English
1690377,English
1690616,English
1690710,English
1690773,English
1690958,English
1691077,English
1691077,French
1691387,English
1691642,English
1691642,French
1691642,Latin
1691642,Spanish
1691685,English
1691793,English
1692173,English
1692173,Italian
1692404,English
1692580,English
1693225,English
1693305,English
1693341,English
1693345,English
1693346,English
1693347,English
1693348,English
1693818,English
1693861,"Arabic - (one scene)"
1693861,English
1693880,English
1694141,English
1694448,English
1694647,English
1694901,English
1695219,English
1695355,English
1695355,Italian
1696148,English
1696165,English
1696168,English
1696396,English
1696473,English
1696473,French
1696496,English
1696789,English
1697037,English
1697037,Spanish
1697674,English
1697690,English
1697774,English
1697774,Yiddish
1697856,English
1698492,English
1698547,English
1698667,English
1698944,English
1698960,English
1698960,Italian
1698972,English
1699546,None
1699876,English
1703410,English
1703469,English
1703588,English
1703679,Spanish
1703907,English
1703907,Spanish
1704569,English
1704571,English
1704577,English
1704577,Latin
1704577,Spanish
1704645,English
1705196,English
1705196,Russian
1705417,English
1706079,English
1706140,English
1706140,French
1706887,English
1707277,English
1707941,English
1708591,English
1708982,English
1708982,French
1709238,English
1709892,English
1709892,French
1709901,English
1709901,French
1709901,Latin
1710609,Japanese
1710622,Japanese
1710673,Mandarin
1710994,German
1711133,English
1711133,Lao
1711143,English
1711145,English
1711175,English
1711175,Russian
1711356,English
1711383,English
1711384,English
1711393,English
1711393,Hungarian
1711395,English
1711398,English
1712152,Japanese
1713183,English
1713499,English
1713755,English
1714481,English
1714991,English
1714991,French
1714991,German
1714991,Spanish
1715025,English
1715186,English
1715186,Spanish
1715253,English
1715288,English
1715380,English
1715404,English
1715607,English
1715793,English
1716019,English
1716020,English
1716411,English
1716452,English
1716452,French
1716452,Latin
1716615,English
1716615,Spanish
1717077,English
1717117,English
1717144,English
1717455,English
1717910,English
1718318,English
1718342,English
1718968,French
1719502,English
1719614,"English - (intertitles)"
1720040,English
1720040,German
1720040,Italian
1720040,Latin
1720443,English
1721568,English
1721607,English
1721750,English
1721864,English
1721888,English
1721888,Swedish
1721919,English
1721967,English
1722098,English
1722164,English
1722174,English
1722181,English
1722181,Hebrew
1722181,Russian
1722181,Yiddish
1722198,Cantonese
1722198,English
1722198,Spanish
1722327,English
1722395,English
1722617,Catalan
1722761,English
1722761,Mende
1722761,Spanish
1722776,English
1722777,English
1723002,English
1723532,English
1724000,English
1724000,French
1724000,Italian
1724037,English
1724179,English
1724180,English
1724190,English
1724193,English
1724193,French
1724201,English
1724201,French
1724201,German
1724413,English
1724880,English
1725437,Korean
1725774,English
1726761,English
1726934,English
1726934,French
1726934,Russian
1727017,German
1727017,Latin
1727082,English
1727237,English
1727237,Spanish
1727348,English
1727413,English
1727885,English
1728742,English
1728802,English
1728802,French
1728889,English
1728948,English
1729005,English
1729026,English
1729240,English
1729260,English
1729569,English
1729818,English
1729818,Italian
1730566,English
1730566,Russian
1730640,English
1730640,French
1730640,Thai
1730836,English
1730975,English
1730975,"German - (archive footage)"
1731412,English
1731505,English
1731582,English
1732344,Dutch
1732496,English
1732658,English
1732858,English
1733111,Bengali
1733111,English
1733479,English
1733479,French
1733479,Khmer
1733479,Vietnamese
1733566,English
1734162,English
1734321,English
1734321,German
1734369,Bengali
1734803,English
1734803,Spanish
1735791,English
1736211,English
1736268,English
1736268,Indonesian
1736268,Russian
1736362,English
1736592,English
1736794,Cantonese
1736794,English
1736794,French
1736794,German
1736794,Hindi
1736794,Turkish
1737340,English
1737340,German
1737713,French
1737766,English
1738481,English
1739234,Arabic
1740732,English
1740752,Dutch
1740752,English
1740752,Spanish
1740811,English
1741487,Bengali
1741487,English
1741487,French
1741487,Romanian
1741487,Russian
1741682,English
1742509,English
1742509,French
1743028,English
1743689,German
1743852,English
1744178,English
1744391,English
1744809,English
1744811,English
1744811,German
1745373,English
1745406,English
1745530,English
1746382,English
1746829,English
1747382,Spanish
1747494,English
1747494,Italian
1747545,English
1747545,French
1747545,Italian
1747649,English
1747899,Mandarin
1748196,English
1748219,English
1748315,English
1748317,English
1748754,English
1748996,English
1749026,English
1749222,Persian
1749247,English
1749247,Japanese
1749438,English
1749683,English
1749731,English
1749735,English
1749737,English
1749806,English
1749806,French
1749806,German
1749806,Russian
1749891,English
1750364,English
1750424,English
1750510,English
1750510,Spanish
1750660,English
1750660,Spanish
1750728,English
1750816,English
1751059,Persian
1751071,English
1751872,English
1753266,English
1753348,English
1753400,English
1753578,English
1753578,Yiddish
1753695,English
1753837,Assamese
1753837,Hindi
1753860,German
1754754,None
1754799,English
1754799,French
1754799,German
1754884,English
1755112,English
1755112,Spanish
1755524,English
1755813,English
1756051,English
1756391,English
1756768,English
1756902,English
1756902,Spanish
1756980,English
1757342,English
1757347,English
1757347,French
1757367,English
1757378,English
1757423,English
1757465,Spanish
1757485,English
1757698,English
1757893,English
1758767,English
1758856,English
1759189,English
1759189,Italian
1759448,English
1759573,English
1759654,English
1759685,English
1759851,English
1759851,French
1759983,English
1760306,English
1760386,English
1760386,German
1760449,English
1760586,English
1760752,English
1760876,English
1760876,French
1760876,German
1760927,English
1760978,Albanian
1760978,English
1760978,French
1760978,Macedonian
1762161,English
1762161,"Scottish Gaelic"
1762174,English
1762229,English
1762229,Italian
1762229,Russian
1762644,English
1762654,English
1762654,French
1762853,French
1762853,Mongolian
1762853,Spanish
1763019,English
1763083,English
1763465,English
1763653,English
1763877,English
1763883,English
1763910,English
1763974,English
1764861,English
1764861,Italian
1764861,Swahili
1765082,English
1765108,English
1765164,English
1765347,English
1765652,English
1765787,English
1765789,English
1765811,English
1765827,English
1766407,English
1766427,English
1766668,English
1766849,English
1767110,English
1767151,English
1767537,English
1767537,Punjabi
1768211,Mandarin
1768389,English
1768698,English
1769145,English
1769408,English
1769408,Italian
1769516,English
1769766,English
1769840,English
1769840,Italian
1770285,Cantonese
1770285,English
1770807,English
1771528,English
1771672,English
1771673,English
1772092,English
1772497,Bulgarian
1772497,English
1772500,English
1772651,English
1772934,English
1772934,French
1772934,German
1772934,Italian
1772934,Japanese
1773358,English
1773358,French
1773436,English
1773944,English
1774349,English
1775245,English
1775382,English
1775747,English
1775854,English
1776052,English
1776052,Russian
1776063,English
1776063,Hungarian
1776173,English
1776338,English
1776407,English
1776407,French
1776556,English
1776556,Yiddish
1776732,English
1776893,English
1777297,English
1777374,English
1777932,English
1778025,English
1778258,English
1778411,English
1778413,English
1778514,English
1778514,Japanese
1778536,English
1778697,English
1778699,English
1779176,English
1779176,"Irish Gaelic"
1779201,English
1779349,English
1779361,English
1779474,English
1779474,French
1779474,Hawaiian
1779528,English
1779735,English
1779757,English
1779835,English
1779868,English
1779914,English
1780022,English
1780022,Russian
1780595,English
1780992,Spanish
1781241,English
1781274,English
1781295,English
1781303,English
1781518,English
1781518,French
1781597,English
1781603,English
1783029,English
1783282,English
1783500,English
1783500,French
1783641,English
1783685,English
1783892,English
1784129,English
1784206,English
1784275,English
1784416,English
1784663,Portuguese
1784877,English
1784877,Spanish
1785170,English
1785251,Arabic
1785251,English
1785251,Spanish
1785265,English
1785529,English
1785755,English
1786099,English
1786099,Spanish
1786124,English
1786136,English
1786142,English
1786183,English
1786236,English
1786413,English
1786566,English
1786921,English
1787090,English
1787090,French
1787090,Latin
1787149,English
1787511,English
1787511,Portuguese
1787525,English
1787603,English
1787603,French
1787603,Italian
1787911,English
1788154,English
1788165,English
1788314,English
1788621,English
1788624,English
1788628,English
1788636,English
1788817,English
1789015,English
1789145,English
1789259,English
1789269,English
1789511,English
1789511,French
1789511,German
1789692,English
1789747,English
1789910,English
1789910,Thai
1790007,English
1790082,English
1790082,Japanese
1790082,Maori
1790082,Serbo-Croatian
1790311,English
1790523,English
1790530,"Russian - (intertitles)"
1790753,English
1790780,English
1790984,English
1791085,English
1792102,English
1792218,English
1792281,Norwegian
1792349,English
1792363,English
1792523,English
1792523,Spanish
1792625,English
1792713,English
1793297,English
1793433,English
1793451,English
1793604,English
1794215,Serbian
1794255,English
1794772,English
1795157,English
1795427,English
1795631,English
1795698,English
1795698,Spanish
1795997,English
1796704,English
1796731,French
1797310,English
1797365,English
1797386,French
1798275,English
1798275,French
1798275,German
1798275,Hebrew
1798372,English
1798632,English
1799339,English
1799603,Hungarian
1801311,English
1801574,English
1801936,English
1802055,English
1802058,English
1802287,Italian
1802676,English
1802677,English
1803115,English
1803115,French
1803115,Spanish
1803357,English
1803905,English
1803921,English
1804232,English
1804232,Spanish
1804427,French
1804484,English
1804484,Portuguese
1804630,English
1804779,Italian
1804779,Spanish
1804898,English
1804923,English
1804924,English
1804925,English
1804947,English
1804947,Italian
1804947,Mandarin
1805163,English
1805225,English
1805246,English
1805273,English
1805799,English
1805799,French
1805799,German
1805799,Italian
1806151,English
1806151,French
1806151,Persian
1806217,English
1806794,English
1806845,English
1806896,English
1806914,English
1806940,English
1807303,English
1807444,English
1807562,English
1807604,English
1807863,English
1808298,English
1808524,English
1808813,English
1809047,English
1809149,German
1809149,Portuguese
1809197,English
1809431,English
1809724,French
1809864,French
1809984,English
1809998,English
1810092,English
1810470,"English - (intertitles)"
1811382,Cantonese
1811626,English
1811626,French
1811626,German
1811626,Italian
1811722,English
1811722,French
1812202,English
1812255,English
1812339,German
1812450,English
1812490,English
1813663,English
1815267,English
1815901,English
1815914,English
1815915,English
1816153,"American Sign Language"
1816153,English
1816171,English
1816175,English
1816176,English
1816182,English
1816182,Russian
1816238,English
1816379,English
1816691,Cantonese
1816691,English
1816691,Spanish
1816742,Cantonese
1816742,English
1817535,English
1817898,English
1818342,English
1818562,English
1819155,English
1819411,Cantonese
1819870,Japanese
1820147,Polish
1820288,English
1820288,French
1820400,English
1821008,English
1821229,English
1821229,Spanish
1821599,English
1821619,English
1821739,English
1821769,English
1821807,English
1821852,English
1821917,English
1822415,English
1822607,English
1822639,English
1822675,English
1823008,English
1823101,English
1823223,English
1823361,English
1823486,English
1823740,English
1823753,English
1823865,English
1823865,French
1823865,Hindi
1823865,Spanish
1824605,English
1824615,English
1824615,French
1824623,English
1824623,Spanish
1824685,French
1824923,English
1825343,English
1825348,English
1826286,English
1826962,English
1827008,English
1827432,English
1827800,English
1827800,Japanese
1828055,English
1828055,German
1828413,English
1828447,English
1828716,English
1829030,English
1829152,English
1829153,English
1829283,English
1829283,Spanish
1829882,English
1830096,English
1830116,English
1830497,English
1830509,English
1830531,English
1830564,English
1831084,English
1831363,English
1831593,English
1831790,English
1831790,"German - (archive footage)"
1831790,Russian
1831790,Spanish
1831904,French
1832668,English
1832720,English
1832832,English
1832852,English
1832852,German
1832852,Russian
1832872,English
1832956,English
1833143,English
1833175,English
1833995,English
1834154,Spanish
1834266,English
1834423,Spanish
1834632,English
1835117,English
1835175,English
1835296,English
1835296,French
1835442,English
1835618,English
1836147,English
1836375,English
1836375,Italian
1836516,English
1836516,Swedish
1836984,English
1837319,English
1837323,English
1837340,English
1837467,English
1837469,English
1837764,English
1837962,English
1837991,English
1838092,English
1838160,English
1838360,English
1838411,Bulgarian
1838411,German
1838411,Romany
1838411,Serbian
1838481,English
1838568,Spanish
1838619,English
1838773,English
1838773,German
1838773,Russian
1838850,English
1839137,English
1839311,English
1839442,English
1839754,English
1840524,English
1840882,English
1841896,English
1841896,Spanish
1842301,English
1842580,English
1842584,English
1843039,French
1843756,English
1843756,Icelandic
1843757,English
1844312,Mandarin
1844854,English
1844997,English
1845075,Dutch
1845075,French
1845075,Latin
1845075,Spanish
1846390,English
1846990,English
1847035,English
1847048,English
1847051,English
1847080,English
1847080,Pawnee
1847080,Sioux
1847235,English
1847595,English
1847692,English
1847699,English
1847699,Zulu
1847722,English
1847739,English
1848628,English
1848859,English
1848859,"Irish Gaelic"
1849147,English
1849156,English
1850182,English
1850182,German
1851750,German
1851871,German
1852854,English
1852976,English
1853052,English
1853104,English
1853104,Spanish
1853531,English
1853531,Spanish
1854045,English
1854142,English
1854142,Italian
1854166,English
1854166,French
1854233,English
1854918,Spanish
1856252,English
1856325,English
1856595,English
1856608,English
1856613,English
1856672,English
1856727,English
1856731,English
1856763,English
1856939,English
1857326,English
1857496,English
1857769,English
1857796,English
1858038,English
1858357,English
1858357,German
1858357,Italian
1858361,English
1858362,English
1858363,English
1858364,English
1858396,English
1858463,English
1859092,English
1859092,Spanish
1859351,English
1859542,English
1859617,English
1859753,English
1859753,Korean
1860181,English
1860181,Japanese
1860327,English
1860806,French
1861004,English
1861112,Italian
1861202,English
1861514,English
1862412,English
1864055,English
1864055,French
1864055,German
1864055,Hebrew
1864055,Spanish
1864846,English
1864846,Latin
1866000,English
1866000,French
1866000,German
1866391,German
1866400,German
1867752,Russian
1868310,English
1868312,English
1868452,English
1868890,English
1869010,English
1869092,English
1869304,English
1869461,English
1869771,Latin
1869771,Swedish
1870038,English
1870132,English
1870151,English
1870221,English
1870751,English
1870798,English
1871727,English
1871833,English
1872091,English
1872091,German
1872091,Polish
1872587,English
1872662,English
1873263,German
1873263,Hebrew
1873263,Italian
1873263,Polish
1873263,Russian
1874279,English
1874279,German
1874279,Italian
1874284,English
1874284,Spanish
1874295,English
1874295,German
1874295,Romanian
1875013,German
1875764,German
1875764,Tibetan
1875962,German
1878227,German
1878537,English
1878658,English
1878669,English
1879298,English
1879358,English
1879599,English
1879793,Cantonese
1879793,"English - (dubbed)"
1879793,Mandarin
1880202,English
1880648,English
1880846,English
1881802,English
1881868,French
1883153,English
1883527,English
1883528,English
1883660,English
1883660,Russian
1883995,English
1884087,English
1884286,English
1885039,English
1885177,Romany
1885177,Serbo-Croatian
1885734,English
1885734,Spanish
1886005,English
1886005,Spanish
1886830,Mandarin
1887066,English
1887066,Italian
1887066,Japanese
1888102,Spanish
1888780,Cantonese
1888780,English
1888811,English
1888823,English
1889009,English
1889253,English
1889491,English
1889579,English
1889579,Italian
1889621,English
1889788,English
1889788,French
1890357,English
1890357,French
1890437,English
1890437,Russian
1890515,English
1890516,English
1890522,Bulgarian
1890522,English
1890522,Greek
1890522,Latin
1890522,Romanian
1890588,English
1890829,English
1891484,English
1891605,English
1891649,English
1891803,English
1892010,English
1892794,English
1892991,English
1892991,Hebrew
1893207,English
1893210,English
1893245,English
1893343,English
1893483,English
1893657,English
1894338,English
1894453,English
1894619,English
1894753,English
1895102,English
1895102,German
1895102,Swedish
1895159,English
1895286,English
1895286,Italian
1895298,Cantonese
1895298,Mandarin
1895425,English
1895425,French
1895463,Cantonese
1896345,English
1896980,English
1897539,German
1897539,Italian
1897539,Russian
1897539,Serbian
1897778,English
1898323,English
1898372,English
1898449,English
1898449,Urdu
1898539,English
1898779,English
1898814,English
1898814,Spanish
1898834,English
1898971,English
1899474,German
1899694,English
1899730,English
1899741,English
1899769,English
1899769,Russian
1899880,French
1900069,English
1900319,English
1900465,English
1901554,English
1903954,Spanish
1904083,Hebrew
1904548,Spanish
1904704,Spanish
1906242,Spanish
1907821,Spanish
1910848,English
1910848,Spanish
1911817,English
1911817,French
1912439,English
1913354,English
1913703,English
1914108,French
1914192,French
1915247,English
1915247,Italian
1915291,English
1915498,English
1915498,Latin
1915861,English
1915987,English
1916996,English
1917129,English
1918307,English
1918312,English
1918615,English
1919846,English
1919853,English
1919898,English
1919947,English
1920973,French
1920973,Russian
1921463,English
1921463,French
1922080,Dutch
1922080,Hebrew
1922080,Polish
1922571,English
1922571,French
1922571,German
1922571,Italian
1923001,English
1923072,English
1923165,English
1923165,Latin
1923244,English
1923287,English
1923531,English
1923821,English
1923955,English
1923981,English
1923981,Italian
1924384,English
1924700,English
1924755,English
1924959,English
1925337,English
1925449,English
1925449,French
1925477,English
1925477,Hebrew
1925610,English
1926507,English
1926668,English
1926854,English
1926854,French
1926854,Korean
1926854,Spanish
1926866,English
1927003,English
1927021,English
1927338,English
1927339,English
1927950,English
1927950,Latin
1928609,English
1928609,Russian
1928755,English
1928940,English
1929146,None
1929151,English
1929205,English
1929262,"Assyrian Neo-Aramaic"
1929262,English
1929262,Syriac
1929431,English
1929431,Korean
1929431,Spanish
1929514,English
1930227,English
1930572,English
1930730,English
1930730,German
1930730,Swedish
1930730,Yiddish
1930793,English
1930810,English
1930942,English
1931213,English
1931235,English
1931489,English
1931497,French
1931497,Italian
1931607,English
1932160,English
1932207,English
1932235,English
1932389,English
1932393,English
1932451,English
1932451,Yiddish
1932817,English
1932819,English
1932958,English
1933191,Czech
1933191,Latin
1933254,French
1933459,English
1933552,English
1933599,English
1933633,English
1933702,English
1933830,English
1934075,English
1934260,Cantonese
1934406,English
1934406,French
1934406,"Irish Gaelic"
1934787,English
1935106,Mandarin
1935417,English
1935619,Danish
1935619,English
1935619,German
1936069,English
1936394,English
1936478,English
1936800,English
1938005,French
1938142,English
1938743,English
1939369,English
1939525,English
1939666,English
1939666,French
1939754,English
1939762,English
1939775,English
1939900,English
1940096,English
1940121,English
1940174,English
1941011,German
1941011,Italian
1941011,Spanish
1941100,English
1941271,English
1941902,English
1942017,English
1942058,English
1942083,English
1942223,English
1942296,English
1942299,English
1942625,English
1942758,English
1942787,English
1942787,German
1942787,Japanese
1942828,English
1942898,English
1943470,English
1943586,English
1943718,English
1943961,English
1944457,English
1944510,English
1944862,English
1944905,English
1944905,Spanish
1945150,English
1945248,English
1945371,French
1945579,English
1945589,English
1945700,English
1945816,English
1945816,Spanish
1945855,English
1945855,Greek
1945855,Italian
1946023,English
1946023,Greek
1946107,English
1946327,English
1946379,English
1946397,English
1946463,English
1946562,Dutch
1946562,English
1946562,Latvian
1946595,English
1946833,English
1946963,English
1947355,English
1948277,English
1948340,"British Sign Language"
1948340,English
1948561,English
1949144,English
1949444,English
1949502,English
1949502,Latin
1949508,English
1949526,English
1949624,English
1950286,English
1950466,English
1950577,English
1950688,English
1950689,English
1950690,English
1950946,English
1951003,English
1951279,English
1951279,French
1951390,English
1951397,English
1951417,Spanish
1951428,English
1951931,English
1951984,English
1951988,English
1951989,English
1951990,English
1951991,English
1951993,English
1952001,English
1952054,English
1952201,English
1952386,English
1952391,English
1952490,English
1952676,English
1952847,English
1952847,Spanish
1952923,English
1953106,English
1953106,Russian
1953106,Turkish
1953354,English
1953362,English
1955153,English
1955153,Vietnamese
1955207,English
1955231,English
1955340,English
1955728,English
1955747,English
1955750,English
1957176,English
1957176,German
1957176,Italian
1957184,English
1957472,Persian
1958267,English
1959117,English
1959300,English
1960531,English
1960768,English
1960768,Esperanto
1961185,French
1962315,English
1963038,English
1963417,English
1963417,Spanish
1963479,English
1963479,Hebrew
1963756,French
1963794,English
1964069,English
1964073,English
1964074,English
1964200,English
1964209,English
1964242,English
1964339,English
1964467,English
1964503,English
1965214,English
1965236,English
1965261,English
1965261,French
1965516,English
1965632,English
1965850,English
1965850,Spanish
1966241,English
1966241,French
1966349,English
1966349,German
1966349,Spanish
1966580,Cantonese
1966580,English
1966580,Mandarin
1966583,Cantonese
1967074,English
1967290,English
1967379,English
1967389,English
1967389,Spanish
1967955,English
1968813,English
1969187,English
1969197,English
1969753,English
1969851,English
1969868,English
1970159,English
1970215,English
1970300,English
1970338,English
1970505,English
1970696,English
1970861,English
1971093,English
1971149,English
1971149,French
1971149,Japanese
1971149,Russian
1971149,Spanish
1971464,English
1971706,Japanese
1971707,English
1971707,Japanese
1971707,Russian
1971712,Japanese
1971929,English
1972108,English
1972108,German
1972287,English
1972287,Russian
1972287,Spanish
1972324,Chinese
1972324,English
1972324,Spanish
1972807,English
1972854,English
1972884,English
1973432,English
1973625,English
1973808,English
1973922,English
1973922,Italian
1974272,English
1974519,Croatian
1974519,English
1974519,Serbo-Croatian
1974583,English
1974724,English
1974984,French
1974984,Spanish
1975181,English
1975609,English
1975664,English
1975664,Russian
1976109,English
1976319,English
1976454,English
1976610,English
1976612,English
1976643,English
1976777,English
1977589,English
1977589,Spanish
1977592,English
1977857,English
1978263,English
1978309,English
1978312,English
1978312,French
1978415,English
1978415,French
1978778,English
1978782,English
1979111,Spanish
1979164,English
1979447,English
1979839,English
1979883,English
1980073,English
1980149,English
1980267,English
1980412,English
1981072,English
1981170,English
1981506,English
1982133,English
1982903,English
1982903,Italian
1982903,Japanese
1982903,Russian
1983455,English
1983617,Cantonese
1983617,English
1983859,English
1983859,Turkish
1984278,English
1984283,English
1984284,English
1984305,English
1984320,English
1984323,English
1984372,English
1984593,Italian
1984593,Turkish
1984763,English
1984785,English
1984792,English
1984793,English
1985138,Japanese
1985443,English
1985576,English
1985642,English
1985755,English
1985793,English
1985793,German
1986482,English
1986482,Russian
1986845,English
1986848,English
1987088,German
1987126,English
1987387,English
1987387,German
1987547,English
1987607,English
1988142,Italian
1988380,English
1988448,English
1988626,English
1988834,English
1988919,English
1989616,English
1989826,English
1990705,English
1990862,Chinese
1990862,English
1991064,English
1991115,English
1991115,Greek
1991269,English
1991544,English
1991646,English
1991707,English
1991951,English
1991951,Spanish
1991969,English
1992100,English
1992100,French
1992100,Vietnamese
1992217,English
1992217,Spanish
1992315,English
1992335,English
1992335,Vietnamese
1992344,English
1992374,English
1992459,English
1992459,Japanese
1992478,English
1992502,English
1992502,French
1992538,English
1992600,English
1992682,English
1992774,English
1992774,Welsh
1993553,English
1993850,English
1993913,English
1993913,Japanese
1994073,English
1994279,English
1994414,English
